Game Title	Year Published	Question Category	Difficulty (easy, medium, hard, children)	Type (true or false, multiple choice)	Value (points)	Question	Correct	Incorrect 1	Incorrect 2	Incorrect 3
Seek	1958	New Testament	Hard	Traditional	25	Of whom was John speaking when He said, "Among them that are born of women there hath not risen a greater"?	John the Baptist			
Seek	1958	New Testament	Hard	Traditional	25	In which book of the New Testament is baptism for the dead mentioned?	1 Corinthians			
Seek	1958	New Testament	Hard	Multiple Choice	25	Which of the following is NOT a book in the New Testament? 1) Philemon, 2) Paul, or 3) Titus	2) Paul	1) Philemon	3) Titus	
Seek	1958	New Testament	Hard	Traditional	25	Name the Roman leader whose wife was warned in a dream that Jesus was a just man?	Pilate			
Seek	1958	New Testament	Easy	Traditional	15	Did Jesus have a body of flesh and bone after His resurrection or was He only a spirit?	Flesh and bone	Only a spirit		
Seek	1958	New Testament	Hard	Traditional	15	Name the devout gentile upon whom the Holy Ghost fell before his baptism to convince Peter that the gospel should go to all nations	Cornelius			
Seek	1958	New Testament	Medium	Traditional	15	Complete: "Except a man be born of ____ and the _____, he cannot enter into the Kingdom of God."	Water, spirit			
Seek	1958	New Testament	Medium	Traditional	15	After the time of Christ and the apostles the church became corrupted and false teachings were taught. What is this period called?	the Apostasy			
Seek	1958	New Testament	Hard	Traditional	15	To whom did Jesus say, "Today shalt thou be with me in paradise"?	Thief on the cross			
Seek	1958	New Testament	Hard	Traditional	25	What relative of Jairus' did Jesus restore to life?	His daughter			
Seek	1958	New Testament	Medium	Traditional	25	How long did the black darkness last which spread over the face of the land at the crucifixion of Jesus?	Three hours			
Seek	1958	New Testament	Easy	Traditional	25	Which Apostle smote off the ear of Malchus, a member of the band who came to take Jesus captive?	Peter			
Seek	1958	New Testament	Hard	Traditional	25	What crime had the two men committed who were crucified with Jesus?	Robbery			
Seek	1958	New Testament	Easy	Traditional	5	Name the first book in the New Testament	Matthew			
Seek	1958	New Testament	Children	Traditional	5	How many apostles did the Savior place in His church?	Twelve			
Seek	1958	New Testament	Easy	Traditional	5	Complete: "In my Father's house are many ______."	Mansions			
Seek	1958	New Testament	Easy	Multiple Choice	5	When the Seventy were sent on missions they went without purse or scrip	TRUE	FALSE		
Seek	1958	New Testament	Easy	Multiple Choice	5	The widow who contributed her mite was in the eyes of God not contributing enough	FALSE	TRUE		
Seek	1958	New Testament	Medium	Traditional	5	Complete: "Our Father which art in heaven, _____ be thy name."	Hallowed			
Seek	1958	New Testament	Easy	Multiple Choice	10	Choose: Jesus turned the water into wine 1) in the desert, 2) at a wedding, or 3) at the Last Supper	2) at a wedding	1) in the desert	3) at the Last Supper	
Seek	1958	New Testament	Hard	Traditional	10	Who is the author of the Epistles to the Corinthians?	Paul			
Seek	1958	New Testament	Easy	Traditional	10	To whom was Jesus speaking when He said, "the cock shall not crow this day, before that thou shalt thrice deny that thou knowest me"?	Peter			
Seek	1958	New Testament	Easy	Traditional	10	Will everyone be resurrected at the beginning of the Millennium?	No			
Seek	1958	New Testament	Easy	Multiple Choice	10	Choose one: The beatitudes were given in the 1) Sermon on the Mount, 2) Temple in Jerusalem, or 3) in the boat crossing the Sea of Galilee	1) Sermon on the Mount	2) Temple in Jerusalem	3) in the boat crossing the Sea of Galilee	
Seek	1958	New Testament	Children	Multiple Choice	10	There is no record of Jesus ever mentioning His Second Coming	FALSE	TRUE		
Seek	1958	New Testament	Children	Traditional	25	Name the garden where Jesus prayed just before He was betrayed	Gethsemane			
Seek	1958	New Testament	Hard	Traditional	25	Put the follwoing books in the order in which they appear in the New Testament: Ephesians, Galatians, and Philippians	Galatians, Ephesians, Philippians			
Seek	1958	New Testament	Medium	Traditional	25	To which Apostle did the resurrected Christ ask three times, "loves thou me"?	Peter			
Seek	1958	New Testament	Hard	Traditional	25	Who took Judas Isacriot's place among the Twelve?	Matthias			
Seek	1958	New Testament	Hard	Traditional	25	Which two Apostles were called "Sons of Thunder"?	James and John			
Seek	1958	New Testament	Hard	Traditional	15	Which apostle was promised he could tarry in the flesh in the flesh until the Second Coming?	John			
Seek	1958	New Testament	Hard	Traditional	15	Name the three apostles who were with Jesus at the Transfiguration	Peter, James, John			
Seek	1958	New Testament	Easy	Traditional	15	How many times did Jesus say we should forgive?	Seventy times seven			
Seek	1958	New Testament	Medium	Traditional	15	To whom was the Lord referring when He said, "Good for that man if he had not been born"?	Judas Iscariot			
Seek	1958	Book of Mormon	Easy	Traditional	5	Did any of the Book of Mormon witnesses every deny they had seen the plates?	No			
Seek	1958	Book of Mormon	Easy	Multiple Choice	5	Choose: Joseph described Moroni as wearing a robe of exquisite 1) blue, 2) whiteness, 3) redness	2) Whiteness	1) blue	3) redness	
Seek	1958	Book of Mormon	Hard	Traditional	25	What word in the Book of Mormon means "honey bee"?	Deseret			
Seek	1958	Book of Mormon	Easy	Traditional	5	Name the two main groups of Lehi's descendants	Nephites and Lamanites			
Seek	1958	Book of Mormon	Easy	Traditional	5	How many times was Joseph Smith visited by Moroni during the night he was told of the Book of Mormon plates?	Three times			
Seek	1958	Book of Mormon	Medium	Multiple Choice	5	Not all of the Gold Plates were translated, a part having been sealed	TRUE	FALSE		
Seek	1958	Book of Mormon	Easy	Traditional	5	Did Christ personally visit the Nephites on this continent?	Yes			
Seek	1958	Book of Mormon	Easy	Traditional	5	How many of the Nephite Twelve recieved the promise of not tasting death (similar to the promise given Apostle John)?	Three			
Seek	1958	Book of Mormon	Children	Multiple Choice	5	How many of the Nephite Twelve recieved the promise of not tasting death (similar to the promise given Apostle John)?	TRUE			
Seek	1958	Book of Mormon	Medium	Traditional	25	Name the two sons which were born to Lehi and Sariah while they journeyed in the wilderness	Jacob, Joseph			
Seek	1958	Book of Mormon	Hard	Traditional	25	Name the six books of teh Book of Mormon which Joseph Smith transalted from the Small Plates of Nephi	1st Nephi, 2nd Nephi, Jacob, Enos, Jarom & Omni			
Seek	1958	Book of Mormon	Medium	Traditional	25	How long did the darkness last upon the land of the Nephites at the time of the curcifixion of Christ?	Three days			
Seek	1958	Book of Mormon	Medium	Traditional	25	Name the secret band of robbers who caused so much wickedness in the Book of Mormon	Gadianton robbers			
Seek	1958	Book of Mormon	Medium	Traditional	25	What two signs were given to the Nephites at the birth of the Savior?	1) A new star appeared, 2) it was light all night			
Seek	1958	Book of Mormon	Hard	Traditional	25	What group of people mentioned in the Book of Mormon migrated to this continent about the same time that Lehi and group did?	Mulekites or People of Zarahemla			
Seek	1958	Book of Mormon	Hard	Traditional	25	Name the son of Mosiah who led a mission to the Lamanites	Ammon			
Seek	1958	Book of Mormon	Medium	Multiple Choice	10	Choose: The brother of Jared is remembered as 1) a Nephite prophet, 2) a man who was visited by the pre-existent Lord, or 3) a son of Nephi	2) a man who was visited by the pre-existent Lord	1) a Nephite prophet	3) a son of Nephi	
Seek	1958	Book of Mormon	Hard	Traditional	25	What man abridged the plates of Ether?	Moroni			
Seek	1958	Book of Mormon	Easy	Traditional	25	Name the "ball or director" that guided Lehi's family in their travels through the wilderness	Liahona			
Seek	1958	Book of Mormon	Medium	Traditional	15	Name the first four books in the Book of Mormon	1st Nephi, 2nd Nephi, Jacob, Enos			
Seek	1958	Book of Mormon	Easy	Traditional	15	Complete: "Adam fell that men might be; and men are that they might have____."	Joy			
Seek	1958	Book of Mormon	Easy	Multiple Choice	5	No one except Joseph Smith saw the plates from which the Book of Mormon was transalted	False (Testimony of Witnesses)	TRUE		
Seek	1958	Book of Mormon	Easy	Multiple Choice	5	The Book of Mormon replaces the Bible and does away with the need for it	FALSE	TRUE		
Seek	1958	Book of Mormon	Easy	Multiple Choice	5	When Joseph told his father of the visitations of Moroni, his father believed him and told him to do as he had been instructed	TRUE	FALSE		
Seek	1958	Book of Mormon	Easy	Multiple Choice	5	Choose: Moroni first appeared to Joseph Smith in 1) the field, 2) the sacred grove, 3) in his bedroom	3) his bedroom	1) the field	2) the sacred grove	
Seek	1958	Book of Mormon	Medium	Multiple Choice	10	Choose: Mosiah was 1) a Lamanite King, 2) a Nephite King, or 3) the father of Moroni?	2) A Nephite King	1) a Lamanite King	3) the father of Moroni	
Seek	1958	Book of Mormon	Easy	Multiple Choice	5	Choose: How many years did Jospeh have to wait after he was first visited by Mroni until he obtained the plates? 1) 1 year, 2) 2 years. 3) 4 years	3) 4 years	1) 1 year	2) 2 years	
Seek	1958	Book of Mormon	Easy	Multiple Choice	10	Choose: Joseph Smith found the Gold Plates in a 1) wood box, 2) stone box, or 3) metal box				
Seek	1958	Book of Mormon	Medium	Multiple Choice	10	Choose: Joseph Smith obtained the Urim and Thummim 1) from Hill Cumorah with the Gold Plates, 2) direct from the angel, or 3) from one of the three Nephites	1) from Hill Cumorah	2) direct from the angel	3) from one of the three Nephites	
Seek	1958	Book of Mormon	Medium	Traditional	10	To what man in the Book of Ether did the Savior appear as a pre-existent spirit?	Brother of Jared			
Seek	1958	Book of Mormon	Easy	Multiple Choice	10	The three witnesses to the Book of Mormon later either left the church or were excommunicated, but none ever denied his testimony	TRUE	FALSE		
Seek	1958	Book of Mormon	Hard	Traditional	10	How many men in addition to Joseph Smith saw the Gold Plates and gave special testimony of it?	Eleven			
Seek	1958	Book of Mormon	Medium	Multiple Choice	10	The Nephites came to America by crossing the Atlantic Ocean	FALSE	TRUE		
Seek	1958	Book of Mormon	Easy	Multiple Choice	5	The sacrament was institued by Jesus amongst the Nephites	TRUE	FALSE		
Seek	1958	Book of Mormon	Easy	Traditional	5	Name three of the sons of Lehi	Laman, Nephi, Lemuel, Jacob, Sam, Joseph			
Seek	1958	Book of Mormon	Easy	Multiple Choice	10	Choose: Which of the follwoing books is a record of the people who came to this continent from the tower of Babel: 1) Mosiah, 2) Ether, or 3) Helaman?	2) Ether	1) Mosiah	3) Helaman	
Seek	1958	Book of Mormon	Easy	Multiple Choice	10	King Benjamin was a wicked king of the Lamanites?	FALSE	TRUE		
Seek	1958	Book of Mormon	Medium	Multiple Choice	10	The Nephites praticed the ordinance of baptism before the birth of Christ	TRUE	FALSE		
Seek	1958	Book of Mormon	Easy	Multiple Choice	10	The Nephites never recieved the gift of the Holy Ghost	FALSE	TRUE		
Seek	1958	Book of Mormon	Medium	Traditional	10	What were the people called who came to this continent from the tower of Babel?	Jaredites			
Seek	1958	Book of Mormon	Easy	Traditional	10	What wicked city did Lehi and his family leave to migrate to America?	Jerusalem			
Seek	1958	Book of Mormon	Medium	Traditional	10	Were any of the Jaredites still living when Lehi arrived on this continent?	Yes			
Seek	1958	Book of Mormon	Medium	Multiple Choice	10	Choose: In which state is the Hill Cumorah located: 1) Vermont, 2) New York, or 3) Conneticut?	2) New York	1) Vermont	3) Conneticut	
Seek	1958	Book of Mormon	Medium	Multiple Choice	10	The Book of Mormon is a copyof all of the records that were written by the Nephites	FALSE	TRUE		
Seek	1958	Book of Mormon	Medium	Multiple Choice	10	Jesus told the Nephites that He recieved a commandment of the Father to visit the lost tribes of Israel				
Seek	1958	Book of Mormon	Easy	Traditional	5	Name the angel who revealed to Joseph Smith the burial place of teh Book of Mormon plates	Moroni			
Seek	1958	Book of Mormon	Easy	Traditional	5	Name the descendants of Lehi who were cursed with dark skin because of their wickedness	Lamanites			
Seek	1958	Book of Mormon	Medium	Traditional	15	Which is the longest book in the Book of Mormon?	Alma			
Seek	1958	Book of Mormon	Medium	Traditional	15	Complete: "When ye are in the ___ of your fellow beings ye are only in the ____ of your God."	Service, service			
Seek	1958	Book of Mormon	Medium	Traditional	15	Complete: "Inasmuch as ye shall keep the commandments of God ye shall ____ in the land."	Prosper			
Seek	1958	Doctrine & Organization	Hard	Traditional	25	Complete: "It is impossible for man to be saved in______."	Ignorance			
Seek	1958	Doctrine & Organization	Hard	Traditional	25	Name the brother of Joseph Smith who was one of the first missionaries in the Church and whose labors indirectly brought the gospel to Brigham Young	Samuel H. Smith			
Seek	1958	Doctrine & Organization	Hard	Traditional	25	Name the man who shared with Joseph Smith the vision of the three degrees of glory recorded in the seventy-sixth section of the Doctrine and Covenants	Sidney Rigdon			
Seek	1958	Doctrine & Organization	Hard	Traditional	25	Complete: "I, the Lord, am bound when ye do what I say; but when ye do not what I say, ye have no_____."	Promise			
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	15	Choose: When Joseph Smith was killed he was 1) thirty-one, 2) thirty-eight, or 3) forty-seven years old	2) thirty-eight	1) thirty-one	3) forty-seven years old	
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	15	Choose: The ultimate destiny of the earth on which we live is to become a 1) telestial world, 2) celestial world, or 3) completely destoryed and never more inhabited	2) celestial world	1) telestial world	3) completely destroyed and never more inhabited	
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	15	Choose: The Aaronic Priesthood was restored on 1) Dec. 23, 1827, 2) May 15, 1829, or 3) April 6, 1830	2) May 15, 1829	1) Dec. 23, 1827	3) April 6, 1830	
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	15	Choose: Adam was also known by the name 1) Micheal, 2) Gabriel, 3) Daniel, or 4) Jehovah	1) Micheal	2) Gabriel	3) Daniel	4) Jehovah
Seek	1958	Doctrine & Organization	Hard	Traditional	25	Complete: "Therefore, O ye that embark in teh service of God, see that ye serve him with all your heart, ____, _____, and _____, that ye may stand blameless before God at the last day."	Might, mind, strength			
Seek	1958	Doctrine & Organization	Hard	Traditional	25	Complete: "For behold this is my work and my glory - to bring pass the ______ and _____ ______ of man."	Immortality, eternal life			
Seek	1958	Doctrine & Organization	Easy	Multiple Choice	5	Members of the Church who commit sins or trangressions cannot have forgiveness	FALSE	TRUE		
Seek	1958	Doctrine & Organization	Medium	Traditional	10	Name the personage who restored the Aaronic Priesthood to the earth in the latter days	John the Baptist			
Seek	1958	Doctrine & Organization	Hard	Traditional	25	Complete: "For of him unto whom much is given much is ____; and he who sins against the greater light shall recieve the greater _____."	Required, condemnation			
Seek	1958	Doctrine & Organization	Children	Traditional	5	At what age should children be baptized?	Eight			
Seek	1958	Doctrine & Organization	Easy	Traditional	5	What two personages appeared to Joseph Smith in the grove in answer to his prayers to know which church to join?	The Father and the Son			
Seek	1958	Doctrine & Organization	Easy	Multiple Choice	5	Joseph Smith made a translation of the parts of the Bible	TRUE	FALSE		
Seek	1958	Doctrine & Organization	Easy	Multiple Choice	5	Baptism is recognized by God regardless of who performs the ordinance	FALSE	TRUE		
Seek	1958	Doctrine & Organization	Easy	Multiple Choice	5	Persons who are not baptized while living on earth are forever lost and can never enter the Kingdom of God	FALSE	TRUE		
Seek	1958	Doctrine & Organization	Easy	Multiple Choice	5	Everyone born on earth was a spirit child of God in the pre-existent life	TRUE	FALSE		
Seek	1958	Doctrine & Organization	Easy	Multiple Choice	5	A deacon has the power and authority to confer the gift of the Holy Ghost	FALSE	TRUE		
Seek	1958	Doctrine & Organization	Easy	Traditional	5	Which church did the Lord tell Joseph Smith he should join in answer to his prayers?	None of them			
Seek	1958	Doctrine & Organization	Easy	Traditional	5	Name the first or lowest office in the Aaronic Priesthood	Deacon			
Seek	1958	Doctrine & Organization	Easy	Multiple Choice	10	A teacher in the Aaronic Priesthood has the power and authority to baptize	FALSE	TRUE		
Seek	1958	Doctrine & Organization	Easy	Traditional	10	Name the four books recognized as scripture by members of the Church of Jesus Christ of Latter-day Saints	Bible, Book of Mormon, Pearl of Great Price, Doctrine & Covenants			
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	10	Choose: A full quorum of deacons is composed of 1) twelve, 2) twenty-four, or 3) fifteen members	1) Twelve	2) twenty-four	3) fifteen members	
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	10	Adam held the higher or Melchizedek Priesthood	TRUE	FALSE		
Seek	1958	Doctrine & Organization	Hard	Traditional	10	Complete the first Article of Faith, "We believe in God the Eternal Father, and in _____ (9 words)."	His Son, Jesus Christ, and in the Holy Ghost			
Seek	1958	Doctrine & Organization	Easy	Multiple Choice	10	A person must hold the Melchizedek Priesthood to bless and administer the sacrament	FALSE	TRUE		
Seek	1958	Doctrine & Organization	Easy	Multiple Choice	5	Choose: God the Father has 1) a body of flesh and bones, 2) a spirit body only, or 3) no definite bodily form	1) a body of flesh and bones	2) a spirit body only	3) no definite bodily form	
Seek	1958	Doctrine & Organization	Medium	Traditional	10	Name the brother of Joseph Smith who was appointed to be a Patriarch to the Church	Hyrum Smith			
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	10	Through baptism for the dead we can guarantee that our ancestors will be saved and exalted	FALSE	TRUE		
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	10	The spirits of all men and women are the literal offsrping of God	TRUE	FALSE		
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	10	The Book of Moses was translated from papyrus scroll taken from the catacombs of Egypt	FALSE	TRUE		
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	10	Choose: In order to obtain the highest degree in the celestial glory a person must 1) fill a mission, 2) be a bishop, or 3) be married in the temple for time and eternity	3) Married in the temple for time and eternity	1) fill a mission	2) be a bishop	
Seek	1958	Doctrine & Organization	Hard	Multiple Choice	15	Choose: Joseph Smith had his first vision in the year 1) 1805, 2) 1820, 3) 1830, or 4) 1844	2) 1820	1) 1805	3) 1830	4) 1844
Seek	1958	Doctrine & Organization	Medium	Traditional	15	Complete: "The glory of God is ______."	Intelligence			
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	15	Choose: The purpose of baptism is 1) to overcome the effect of Adam's trangression, 2) for remission of sins and membership in the Church, or 3) a combination of both number 1 and 2	2) remission of sins and membership			
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	15	Choose: Who was baptized first of the following three men: 1) Joseph Smith, 2) Martin Harris, or 3) Oliver Cowdery	3) Oliver Cowdery	1) Joseph Smith	2) Martin Harris	
Seek	1958	Doctrine & Organization	Medium	Multiple Choice	15	Choose: Which of the following was not a President of the Church: 1) John Taylor, 2) Heber C. Kimball, 3) Wilford Woodruff, or 4) Lorenzo Snow	2) Heber C. Kimball	1) John taylor	3) Wilford Woodruff	4) Lorenzo Snow
Seek	1958	Doctrine & Organization	Medium	Traditional	15	Name the town and state where Joseph Smith and his brother Hyrum were shot and killed	Carthage, Illinois			
Seek	1958	Doctrine & Organization	Medium	Traditional	15	Complete: "Behold there are many _____, but few are ______."	Called, chosen			
Seek	1958	Doctrine & Organization	Medium	Traditional	15	Name the city in which the second LDS Temple was constructed	Nauvoo			
Seek	1958	Doctrine & Organization	Medium	Traditional	15	Give the names of the three kingdoms or degrees of glory in order from the highest to lowest	Celestial, terrestial, telestial			
Seek	1958	Doctrine & Organization	Medium	Traditional	15	Who was the President of the Church follwoing Heber J. Grant?	George Albert Smith			
